,timestamp_x,ACCEL_X,ACCEL_Y,ACCEL_Z,timestamp_y,GYRO_X,GYRO_Y,GYRO_Z
89,2016-03-15 21:27:17.73,-0.691,-0.146,0.753,2016-03-15 21:27:18.51,-0.366,3.537,1.098
90,2016-03-15 21:27:17.73,-0.691,-0.147,0.753,2016-03-15 21:27:18.51,-0.305,3.354,0.976
91,2016-03-15 21:27:17.73,-0.69,-0.147,0.75,2016-03-15 21:27:18.52,-0.305,2.378,0.732
92,2016-03-15 21:27:17.73,-0.692,-0.147,0.749,2016-03-15 21:27:18.52,-0.305,2.195,0.793
93,2016-03-15 21:27:17.73,-0.69,-0.146,0.758,2016-03-15 21:27:18.52,-0.183,1.341,0.61
94,2016-03-15 21:27:17.73,-0.679,-0.151,0.753,2016-03-15 21:27:18.52,-0.305,2.012,0.488
95,2016-03-15 21:27:17.73,-0.665,-0.142,0.761,2016-03-15 21:27:18.52,-0.488,2.439,0.488
96,2016-03-15 21:27:17.73,-0.674,-0.145,0.749,2016-03-15 21:27:18.52,-0.305,2.256,0.549
97,2016-03-15 21:27:17.73,-0.691,-0.157,0.779,2016-03-15 21:27:18.52,0.122,1.159,0.61
98,2016-03-15 21:27:17.73,-0.699,-0.15,0.79,2016-03-15 21:27:18.52,1.707,-1.402,0.488
99,2016-03-15 21:27:17.73,-0.728,-0.165,0.721,2016-03-15 21:27:18.52,-2.012,11.707,-0.61
100,2016-03-15 21:27:17.73,-0.739,-0.163,0.7,2016-03-15 21:27:18.52,0.244,13.171,-1.585
101,2016-03-15 21:27:17.73,-0.754,-0.163,0.679,2016-03-15 21:27:18.52,-0.061,17.561,-2.012
102,2016-03-15 21:27:17.73,-0.763,-0.153,0.637,2016-03-15 21:27:18.52,-1.768,19.756,-0.915
103,2016-03-15 21:27:17.73,-0.802,-0.14,0.63,2016-03-15 21:27:18.52,-1.159,19.634,-0.061
104,2016-03-15 21:27:17.73,-0.828,-0.136,0.617,2016-03-15 21:27:18.52,0.793,34.573,0.305
105,2016-03-15 21:27:17.73,-0.866,-0.138,0.573,2016-03-15 21:27:18.52,2.378,35.732,0.122
106,2016-03-15 21:27:17.73,-0.872,-0.147,0.547,2016-03-15 21:27:18.52,4.085,34.939,-2.805
107,2016-03-15 21:27:17.73,-0.876,-0.155,0.509,2016-03-15 21:27:18.52,1.463,40.305,-4.878
108,2016-03-15 21:27:17.73,-0.879,-0.163,0.488,2016-03-15 21:27:18.52,-1.22,42.317,-5.427
109,2016-03-15 21:27:17.73,-0.874,-0.196,0.462,2016-03-15 21:27:18.52,-1.768,42.988,-3.78
110,2016-03-15 21:27:17.73,-0.893,-0.175,0.405,2016-03-15 21:27:18.52,-2.805,43.841,-3.049
111,2016-03-15 21:27:17.73,-0.902,-0.179,0.384,2016-03-15 21:27:18.52,-2.866,43.72,-3.232
112,2016-03-15 21:27:17.73,-0.931,-0.192,0.353,2016-03-15 21:27:18.52,-3.537,42.988,-4.939
113,2016-03-15 21:27:17.73,-0.921,-0.208,0.311,2016-03-15 21:27:18.52,-4.512,45.915,-5.0
114,2016-03-15 21:27:17.73,-0.954,-0.219,0.286,2016-03-15 21:27:18.52,-6.829,51.829,-10.305
115,2016-03-15 21:27:17.73,-0.955,-0.2,0.262,2016-03-15 21:27:18.52,-12.134,56.646,-9.085
116,2016-03-15 21:27:17.73,-0.957,-0.24,0.179,2016-03-15 21:27:18.52,-17.683,59.451,-7.195
117,2016-03-15 21:27:17.73,-0.975,-0.235,0.119,2016-03-15 21:27:18.52,-21.28,60.61,-5.549
118,2016-03-15 21:27:17.73,-0.943,-0.257,0.028,2016-03-15 21:27:18.52,-20.427,68.11,-4.512
119,2016-03-15 21:27:17.73,-0.968,-0.383,0.009,2016-03-15 21:27:18.52,-18.963,75.183,-2.927
120,2016-03-15 21:27:17.73,-1.129,-0.319,-0.177,2016-03-15 21:27:18.52,-19.39,73.049,1.22
121,2016-03-15 21:27:17.73,-1.149,-0.144,-0.252,2016-03-15 21:27:18.52,-20.244,70.122,5.366
122,2016-03-15 21:27:17.73,-1.004,-0.013,-0.371,2016-03-15 21:27:18.52,-20.366,82.012,10.671
123,2016-03-15 21:27:17.73,-0.916,-0.086,-0.536,2016-03-15 21:27:18.52,-25.427,108.659,8.415
124,2016-03-15 21:27:17.74,-0.936,-0.117,-0.455,2016-03-15 21:27:18.52,-26.707,103.963,7.683
125,2016-03-15 21:27:17.74,-0.947,-0.08,-0.571,2016-03-15 21:27:18.52,-33.415,97.378,15.183
126,2016-03-15 21:27:17.74,-0.867,-0.068,-0.678,2016-03-15 21:27:18.52,-53.354,93.72,13.537
127,2016-03-15 21:27:17.74,-0.894,0.035,-0.656,2016-03-15 21:27:18.52,-67.866,81.159,21.585
128,2016-03-15 21:27:17.74,-0.935,0.034,-0.73,2016-03-15 21:27:18.52,-94.817,84.268,16.159
129,2016-03-15 21:27:17.74,-0.85,-0.083,-0.771,2016-03-15 21:27:18.52,-77.439,70.183,9.329
